IntegrationTime,velocity_phy0,velocity_phy1,velocity_phy2,Points0,Points1,Points2
11033.743,0.0022292293,-0.00027926487,-0.0019553364,533.5684,65.03669,514.24164
11369.495,0.0034165499,-0.0004669471,-0.0034462723,534.2832,64.93116,513.5503
11574.614,0.0044208867,-0.00038141367,-0.0050123874,534.9692,64.86512,512.8256
11723.995,0.00089244446,0.0005053573,-0.005859834,535.5043,64.898865,511.9815
11892.093,-0.0020180815,-0.00028245512,-0.009541714,535.1761,65.04018,511.04755
11994.585,-0.0152873,-0.009144481,-0.021282544,534.6993,64.78634,510.206
12030.616,-0.025438296,-0.039130043,-0.04861005,534.27185,64.28858,509.45126
12045.455,-0.006418145,-0.09986446,-0.077050954,534.10895,63.60208,508.74265
12053.373,0.07251023,-0.23183449,-0.2252079,534.1946,62.818813,508.1269
12056.393,-0.2999644,-1.398261,-1.4545394,534.5384,62.185513,507.43353
12056.883,-0.69813704,-2.1557088,-2.275815,534.43304,61.486294,506.72644
12057.193,-1.185995,-1.5420972,-2.1719348,534.1008,60.869694,506.01266
12057.537,-0.78523386,-1.3231351,-1.9380493,533.734,60.352306,505.23953
12057.94,-0.6049715,-1.5073944,-1.8289541,533.44464,59.787975,504.46637
12058.35,-0.8307428,-1.4140865,-1.2671281,533.0219,59.15447,503.8183
12058.832,-0.6335724,-0.6085582,-1.1355003,532.57434,58.687344,503.05576
12059.528,-0.5596565,-0.9502677,-1.1960573,532.2373,58.20207,502.24896
12060.144,-0.6585336,-1.2681385,-1.5707493,531.91956,57.591152,501.5238
12060.614,-0.6899491,-1.4756444,-1.6073644,531.6135,56.993008,500.78317
12061.052,-0.91964895,-1.1005557,-1.3521693,531.1281,56.376366,500.1634
12061.559,-0.53813684,-0.7847876,-1.3613292,530.77356,55.934124,499.33954
12062.161,-0.79895633,-1.1737965,-1.3231453,530.4172,55.374283,498.59152
12062.676,-0.70539796,-1.0998492,-1.3002381,530.0157,54.772076,497.9015
12063.219,-1.1946361,-1.4391642,-1.7216632,529.66736,54.14209,497.20737
12063.611,-0.7467736,-1.2331066,-1.9113903,529.2295,53.59718,496.49225
12064.029,-0.7149639,-1.3219668,-1.8243608,528.9371,53.077137,495.68973
12064.452,-0.8966434,-1.1923584,-1.252977,528.49554,52.484215,495.01633
12064.966,-0.7831738,-1.0689571,-1.2151685,528.0531,51.8928,494.34216
12065.522,-0.49261528,-0.7829361,-1.1353617,527.68896,51.39585,493.55447
12066.205,-0.45547998,-0.6896865,-1.0049201,527.33575,50.84021,492.80182
12066.974,-0.2788484,-0.5259604,-0.57,526.969,50.306667,492.03973
0.0,0.00022446318,0.00083340367,0.00094929145,529.6009,62.620167,515.31384
779.4207,0.000656516,0.00073189795,0.00051276025,529.98474,63.291542,515.9478
1681.2329,0.0010496256,0.00063859776,6.1184466e-05,530.739,63.89124,516.2151
2494.1433,0.0016524126,0.0005585655,-0.0006061714,531.6396,64.295876,516.0562
3035.681,0.0025044011,0.00031208745,-0.0017489679,532.49506,64.46961,515.5684
3361.355,0.0042327153,0.00033090013,-0.0033927932,533.2827,64.53194,514.95544
3545.3562,0.006060344,-0.00020407746,-0.005908416,534.0305,64.528656,514.2915
3663.4712,0.007686705,-0.00015666144,-0.008884081,534.7185,64.50445,513.5662
3748.5854,0.0073054624,0.00060696946,-0.012403783,535.3126,64.516266,512.7619
